lfdn;v_300;v_23;v_3;v_1;v_2;v_4;v_5;v_6;v_7;v_8;v_9;v_10;v_11;v_12;v_13;v_14;v_15;v_16;v_17;v_18;v_19;v_20;v_21;v_22;v_24;v_25;v_26;v_27;v_28;v_29;v_34;v_35;v_36;v_37;v_38;v_39;v_40;v_41;v_42;v_43;v_44;v_47;v_45;v_46;v_51;v_52;v_59;v_60;v_61;v_62;v_63;v_64;v_65;v_66;v_67;v_76;v_73;v_79;v_68;v_70;v_71;v_74;v_78;v_77;v_75;v_69;v_72;v_80;v_81;v_87;v_92;v_88;v_91;v_83;v_93;v_89;v_94;v_90;v_84;v_86;v_82;v_85;v_95;v_96;v_97;v_98;v_99;v_100;v_101;v_102;v_303;v_103;v_104;v_105;v_343;v_344;v_345;v_346;v_347;v_348;v_349;v_350;v_351;v_110;v_108;v_106;v_109;v_107;v_111;v_112;v_113;v_158;v_159;v_160;v_161;v_162;v_163;v_164;v_165;v_166;v_167;v_168;v_170;v_171;v_169;v_172;v_173;v_174;v_175;v_176;v_177;v_178;v_179;v_180;v_181;v_182;v_183;v_184;v_185;v_186;v_187;v_188;v_189;v_190;v_191;v_192;v_193;v_246;v_248;v_250;v_252;v_254;v_277;v_278;v_279;v_280;v_281;v_282;v_283;v_284;v_285;v_286;v_194;v_297
420;English;Sweden;10;Public sector;NotAnswered;Hybrid of both software-intensive embedded systems and business information systems;NotAnswered;not quoted;not quoted;quoted;not quoted;quoted;quoted;quoted;not quoted;not quoted;NotAnswered;No;Business Analyst;NotAnswered;10;PhD;In-house development;NotAnswered;Hybrid;neutral;NotShown;NotShown;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;Project Lead / Project Manager;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;not quoted;quoted;quoted;quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;quoted;quoted;quoted;not quoted;not quoted;NotAnswered;NotShown;having maps of how systems and part of systems interact;NotShown;NotShown;do not know;backup plans;information security analysis as part of project documentation;NotShown;NotShown;not quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Rather applies;Rather applies;Does rather not apply;Neutral;Does rather not apply;Neutral;Does rather not apply;Rather applies;Neutral;Rather applies;Does not apply at all;Does rather not apply;Does rather not apply;Rather applies;Strongly applies;Rather applies;Neutral;Does not apply at all;Does rather not apply;Does rather not apply;Weak access to customer needs and / or (internal) business information;Weak relationship between customer and project lead;Insufficient support by project lead;Please make a selection;Please make a selection;there is a wide range of customers with different needs;there is very myuch focus on rules and regulations (laws) which are complicated;sometimes weak orderer of the project;NotShown;NotShown;our customers (farmers) get their money late;the customers (farmers) want their money, and we have to follow rules and regulations (laws);stops in project because of late decisions;NotShown;NotShown;NotAnswered;"we are bound to complicated rules and regulations (laws) which make the development very complex. Some rules and regulations have impact on other rules; ex. if a farmer does not fulfil one need there has consequences on another payment"
425;English;Sweden;30;Finance;NotAnswered;Business information systems;NotAnswered;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;I don't know;Business Analyst;NotAnswered;8;Requirement Engineering;Sub-contractor (responsible for part of a larger development project);NotAnswered;Rather agile;Good;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;NotAnswered;Product Manager;NotAnswered;We do not document requirements.;NotAnswered;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;not quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Neutral;Rather applies;Neutral;Rather applies;Does rather not apply;Does rather not apply;Neutral;Does rather not apply;Neutral;Rather applies;Does rather not apply;Neutral;Neutral;Rather applies;Does rather not apply;Neutral;Neutral;Does rather not apply;Rather applies;Neutral;Communication flaws between the project and the customer;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Moving targets (changing goals, business processes and / or requirements);Insufficient support by customer;Unclear / unmeasurable non-functional requirements;Customer does not get what he need.;Customer does not get what he need.;Customer does not get what he need in time.;Customer does not tell what he need.;Hard to know if it is right.;Customer does not get what he need.;Customer does not get what he need.;Customer does not get what he need in time.;Customer does not tell what he need.;Hard to know if it is right.;NotAnswered;NotAnswered
427;English;Sweden;70;Other (please specify);Aviation;Business information systems;NotAnswered;not quoted;quoted;quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;Yes;Project Lead / Project Manager;NotAnswered;9;NotAnswered;Main contractor (main responsible for the development project);NotAnswered;Agile;neutral;NotShown;NotShown;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Product Owner;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;quoted;quoted;not quoted;quoted;quoted;quoted;not quoted;not quoted;NotAnswered;NotShown;Quantified textual requirements;Scenarios descriptions, diagrams;NotShown;Quantified textual requirements ;Quantified textual requirements ;Quantified textual requirements ;NotShown;NotShown;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;We update our product backlog.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Does rather not apply;Does rather not apply;Does rather not apply;Does rather not apply;Does rather not apply;Neutral;Neutral;Does rather not apply;Rather applies;Does rather not apply;Does rather not apply;Does rather not apply;Does not apply at all;Does rather not apply;Neutral;Does rather not apply;Does rather not apply;Neutral;Rather applies;Does rather not apply;Time boxing / Not enough time in general;Unclear / unmeasurable non-functional requirements;Missing traceability;Insufficient support by customer;Incomplete or hidden requirements;A lot of features to implement before final delivery milestone;Customer’s knowledge in this area is not good ;Bad ways of working;Need more availability from the customer;Too little time spent in the pre-study phase for some areas;More technical debt ;Increased risk for issues discovered in production;Quality issues could go undetected;More rework required to fulfill business needs and deliver the right value;Risk of delays due to unforeseen extra work ;NotAnswered;NotAnswered
429;English;Sweden;25;Healthcare;NotAnswered;Software-intensive embedded systems;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;No;Developer;NotAnswered;7;No;Main contractor (main responsible for the development project);NotAnswered;Rather agile;neutral;NotShown;NotShown;quoted;quoted;not quoted;NotAnswered;quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Product Owner;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We update our product backlog.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;The requirements are mostly well though through and often well written.;With a well written specification there are less questions or at least east to ask the questions. As a developer we can start working on the requirement without having to think about what questions to ask before taking on a task. ;When the backlog consists of multiple tasks that has requirements that goes against each other. When changes goes to changes to changes without being implemented. Clean backlog is important.;Does rather not apply;Neutral;Does rather not apply;Neutral;Does rather not apply;Does rather not apply;Neutral;Does rather not apply;Neutral;Does rather not apply;Does rather not apply;Does rather not apply;Does not apply at all;Does not apply at all;Does not apply at all;Does rather not apply;Does rather not apply;Does rather not apply;Does not apply at all;0;Incomplete or hidden requirements;Communication flaws within the project team;Missing traceability;Insufficient support by project lead;Time boxing / Not enough time in general;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered
437;Español;Uruguay;130;e-Government;NotAnswered;Hybrid of both software-intensive embedded systems and business information systems;NotAnswered;quoted;quoted;quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;No;Project Lead / Project Manager;NotAnswered;17;PMP;Main contractor (main responsible for the development project);NotAnswered;Hybrid;Very good;NotShown;Compliance of expectations. suitable selection of the methodological approach. Approch with high tolerance to changes;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Requirements Engineer;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;NotAnswered;Quantified textual requirements ;NotShown;textual requirements quantified;NotShown;quantified textual requirements ;NotShown;following a guideline, standard, or specific practice;following a guideline, standard, or specific practice;NotShown;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;quoted;not quoted;not quoted;NotAnswered;Other (please specify);change management addenda are made but the previously accepted specification is unchanged;Satisfied;NotShown;NotShown;NotShown;We have good results in time and quality Low demand for changes in user testing We achieved good stakeholder involvement;Project on time, profits for the company;High frequency of changes in acceptance testing that made us to work on improving the stakeholder identification and validation techniques;Does rather not apply;Does rather not apply;Neutral;Rather applies;Does rather not apply;Rather applies;Rather applies;Rather applies;Does rather not apply;Neutral;Rather applies;Does rather not apply;Does rather not apply;Does not apply at all;Rather applies;Neutral;Rather applies;Rather applies;Neutral;Rather applies;Communication flaws between the project and the customer;Incomplete or hidden requirements;Weak access to customer needs and / or (internal) business information;Moving targets (changing goals, business processes and / or requirements);Unclear / unmeasurable non-functional requirements;Team technicians and managers lack of skills;lack of applied techniques;"lack of customer involvement; lack of planning";"dynamic business; improvements";"weaknesses when defining them; difficulty when quantifying them";not meeting goals;rework;rework;rework;"rework; wrong decisions";NotAnswered;NotAnswered
442;Español;Uruguay;15;Finance;NotAnswered;Software-intensive embedded systems;NotAnswered;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;Yes;Project Lead / Project Manager;NotAnswered;15;PMP;Customer;NotAnswered;Rather plan-driven;Good;NotShown;NotShown;not quoted;quoted;not quoted;NotAnswered;quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;Requirements Engineer;NotAnswered;We document detailed requirements at the beginning of the project.;NotAnswered;quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;NotAnswered;NotShown;NotShown;NotShown;NotShown;quantified textual requirements;NotShown;quantified textual requirements;quantified textual requirements;NotShown;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests, but do not further update our requirements specification once formally accepted.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Does rather not apply;Does rather not apply;Does rather not apply;Neutral;Does rather not apply;Does rather not apply;Rather applies;Neutral;Rather applies;Neutral;Neutral;Does rather not apply;Does rather not apply;Does rather not apply;Neutral;Neutral;Does rather not apply;Does rather not apply;Does rather not apply;Neutral;Stakeholders with difficulties in separating requirements from previously known solution designs;Moving targets (changing goals, business processes and / or requirements);Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;Please make a selection;Please make a selection;business areas imagine solutions as an evolution of what they know;"the regulator; the competitive pressure has an impact in the solution's update";risk aversion caused by patterns of business: reputational risk is very careful;NotShown;NotShown;It is difficult to convince to accept radical changes in terms of how to do things;projects take time to see the light. What is published must be complete;delay in decision making;NotShown;NotShown;the budget for technology upgrades is viewed as a cost;NotAnswered
444;Español;Uruguay;10;Healthcare;NotAnswered;Software-intensive embedded systems;NotAnswered;not quoted;not quoted;quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;NotAnswered;No;Developer;NotAnswered;5;do not;In-house development;NotAnswered;Rather plan-driven;Good;NotShown;NotShown;not quoted;quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Project Lead / Project Manager;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;quoted;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;NotShown;NotShown;Structured List of Requirements;NotShown;Structured List of Requirements;State machine and structured list of requirements;NotShown;NotShown;NotShown;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Rather applies;Neutral;Does rather not apply;Neutral;Neutral;Neutral;Rather applies;Neutral;Does rather not apply;Rather applies;Rather applies;Neutral;Neutral;Neutral;Strongly applies;Neutral;Does rather not apply;Neutral;Neutral;Does not apply at all;Communication flaws within the project team;Incomplete or hidden requirements;Time boxing / Not enough time in general;Underspecified requirements that are too abstract and allow for various interpretations;Communication flaws between the project and the customer;Information is managed through different channels and it isn't documented;Wrong specification.;Times promised limit the scope and the cost, but we do not want to touch either of them.;Bad specification;"The customer does not provide timely feedback; customer response delay.";"Re work; They sow bugs";They are detected in testing;low morale in team;They are detected in testing;Delays and downtime;Do not;Do not
446;English;Sweden;40;Public sector;NotAnswered;Business information systems;NotAnswered;not quoted;quoted;quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;Yes;Architect;NotAnswered;20;no;Customer;NotAnswered;Rather plan-driven;Very good;NotShown;competence and result;quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;Business Analyst;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;non-quantified textual requirements;non-quantified textual requirements;non-quantified textual requirements;NotShown;non-quantified textual requirements;non-quantified textual requirements;non-quantified textual requirements;non-quantified textual requirements;NotShown;not quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests, but do not further update our requirements specification once formally accepted.;NotAnswered;Dissatisfied;We need to work closer to the customer more demoing and prototyping less writing documents;Requirements are missed and not kept in sync with actuak requirments;Less is more;NotShown;NotShown;NotShown;Rather applies;Rather applies;Does rather not apply;Rather applies;Neutral;Neutral;Rather applies;Does rather not apply;Does not apply at all;Rather applies;Neutral;Rather applies;Does rather not apply;Neutral;Strongly applies;Strongly applies;Does rather not apply;Does not apply at all;Does not apply at all;Does not apply at all;Communication flaws between the project and the customer;Communication flaws within the project team;Terminological problems;Time boxing / Not enough time in general;Stakeholders with difficulties in separating requirements from previously known solution designs;wrong or unknown reqs;inefficient work and unecessary coorination efforts;waste of time;frustration;frustration;delivery impact;delivery impact;delivery impact;delivery impact;delivery impact;NotAnswered;Less documentation more focus on prototyping/demoing. Formal methods are totally useless for practical requirement management
453;Español;Spain;6;Energy;NotAnswered;Business information systems;NotAnswered;quoted;not quoted;not quoted;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;No;Project Lead / Project Manager;NotAnswered;14;do not;Main contractor (main responsible for the development project);NotAnswered;Hybrid;Good;NotShown;NotShown;not quoted;quoted;not quoted;NotAnswered;quoted;quoted;quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Business Analyst;NotAnswered;We document detailed requirements at the beginning of the project.;NotAnswered;quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;NotAnswered;textual requirements;NotShown;Text;NotShown;NotShown;NotShown;Roles, permissions;Esthetic;NotShown;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Neutral;Does rather not apply;Neutral;Neutral;Does rather not apply;Does not apply at all;Rather applies;Neutral;Does rather not apply;Rather applies;Neutral;Does rather not apply;Does not apply at all;Does not apply at all;Rather applies;Does rather not apply;Does rather not apply;Does rather not apply;Does rather not apply;Does rather not apply;Incomplete or hidden requirements;Moving targets (changing goals, business processes and / or requirements);Unclear / unmeasurable non-functional requirements;Underspecified requirements that are too abstract and allow for various interpretations;Communication flaws between the project and the customer;The customer think on the fly;It comes to my mind on the fly;He/She doesn't pay attention at first;They are left for later;Not wanting to disturb a customer or following a plan;Not planning well;redoing things;redoing things;redoing work;late problem detection;NotAnswered;NotAnswered
454;Español;Spain;30;Telecommunication;NotAnswered;Hybrid of both software-intensive embedded systems and business information systems;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Yes;Project Lead / Project Manager;NotAnswered;6;ITIL, PMP;Sub-contractor (responsible for part of a larger development project);NotAnswered;Hybrid;neutral;NotShown;NotShown;not quoted;quoted;not quoted;NotAnswered;quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;Product Owner;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotShown;NotAnswered;NotShown;NotShown;NotShown;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Satisfied;NotShown;NotShown;NotShown;NotAnswered;NotAnswered;NotAnswered;Neutral;Rather applies;Rather applies;Neutral;Rather applies;Neutral;Neutral;Rather applies;Rather applies;Neutral;Rather applies;Does rather not apply;Rather applies;Does rather not apply;Does rather not apply;Neutral;Does rather not apply;Does rather not apply;Rather applies;Neutral;Communication flaws within the project team;Insufficient support by customer;Insufficient support by project lead;Incomplete or hidden requirements;Stakeholders with difficulties in separating requirements from previously known solution designs;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered
461;Español;Uruguay;12;Other (please specify);Banking;Business information systems;NotAnswered;quoted;quoted;not quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;Yes;Business Analyst;NotAnswered;9;do not;Main contractor (main responsible for the development project);NotAnswered;Plan-driven;Good;NotShown;NotShown;not quoted;quoted;not quoted;NotAnswered;quoted;quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Business Analyst;NotAnswered;We document detailed requirements at the beginning of the project.;NotAnswered;quoted;quoted;quoted;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;NotAnswered;Natural language;NotShown;NotShown;NotShown;NotShown;NotShown;natural language activity diagram, standards;natural language and standards;NotShown;not quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We work with change requests and continuously update our requirements specification accordingly also after formally accepted.;NotAnswered;Dissatisfied;In a project with frequent requested changes, it gets complicated to keep the documentation up to date. On the other hand, in the testing phase, many incidents are not always incidents, but they are changes. These changes are recorded as bugs but never get incorporated into the requirements documentation.;misunderstandings with the client are generated, incomplete or poorly designed features.;Spend more time on requirements engineering to analyze, design and document correctly. Establish measurable acceptance criteria from the beginning.;NotShown;NotShown;NotShown;Does rather not apply;Rather applies;Rather applies;Strongly applies;Neutral;Rather applies;Does rather not apply;Strongly applies;Strongly applies;Strongly applies;Strongly applies;Strongly applies;Strongly applies;Rather applies;Strongly applies;Does rather not apply;Rather applies;Strongly applies;Strongly applies;Strongly applies;Incomplete or hidden requirements;Time boxing / Not enough time in general;Underspecified requirements that are too abstract and allow for various interpretations;Unclear / unmeasurable non-functional requirements;Weak knowledge about customer's application domain;lack of time, trouble communicating with the client, client does not provide complete information;management policies, budget;"lack of time; client does not provide complete information, a feature / product it sold, but it does not have";The metric is not determined directly by ignorance;Customer does not provide complete information;customer dissatisfaction;"customer dissatisfaction; management dissatisfaction ";"customer dissatisfaction; development team dissatisfaction because is not clear what to do";"customer dissatisfaction;";"customer dissatisfaction;";NotAnswered;NotAnswered
466;Español;Spain;7;Public sector;NotAnswered;Hybrid of both software-intensive embedded systems and business information systems;NotAnswered;not quoted;quoted;quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;NotAnswered;Yes;Project Lead / Project Manager;NotAnswered;1;NotAnswered;Main contractor (main responsible for the development project);NotAnswered;Rather agile;Very good;NotShown;Methodology and technical skills;quoted;not quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;quoted;quoted;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;Project Lead / Project Manager;NotAnswered;We document high-level requirements at beginning of the project and refine them to detailed requirements when needed (for instance, we document epics and refine them to user stories for the sprints).;NotAnswered;quoted;quoted;not quoted;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;not quoted;quoted;not quoted;quoted;quoted;not quoted;NotAnswered;quoted;not quoted;not quoted;not quoted;quoted;quoted;not quoted;not quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;NotAnswered;not quoted;quoted;quoted;not quoted;quoted;not quoted;quoted;not quoted;not quoted;NotAnswered;NotShown;NotAnswered;NotAnswered;NotShown;NotAnswered;NotShown;NotAnswered;NotShown;NotShown;not quoted;quoted;not quoted;not quoted;not quoted;not quoted;not quoted;NotAnswered;not quoted;quoted;quoted;not quoted;not quoted;not quoted;NotAnswered;We update our product backlog.;NotAnswered;Neither dissatisfied nor satisfied;NotShown;NotShown;NotShown;NotShown;NotShown;NotShown;Rather applies;Does rather not apply;Rather applies;Rather applies;Neutral;Strongly applies;Rather applies;Neutral;Rather applies;Rather applies;Does rather not apply;Neutral;Neutral;Does rather not apply;Rather applies;Rather applies;Neutral;Rather applies;Rather applies;Rather applies;Communication flaws between the project and the customer;Time boxing / Not enough time in general;Insufficient support by customer;Stakeholders with difficulties in separating requirements from previously known solution designs;Discrepancy between high degree of innovation and need for formal acceptance of (potentially wrong / incomplete / unknown) requirements;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered;NotAnswered
